,entry_time,exit_time,ticker,side,entry_px,exit_px,gross_bps,net6_bps,net10_bps,long_score,short_score,qty,net_inr,reason
1,2026-07-09 10:15:00,2026-07-09 11:15:00,M&MFIN,LONG,335.8,338.95,93.81,87.81,83.81,-0.0314,-0.0391,296,827.68,TIME
2,2026-07-09 10:15:00,2026-07-09 11:15:00,LAURUSLABS,SHORT,1518.1,1509.0,59.94,53.94,49.94,-0.0386,-0.0201,65,487.62,TIME
3,2026-07-09 10:30:00,2026-07-09 11:30:00,BPCL,LONG,306.1,307.15,34.3,28.3,24.3,-0.0321,-0.0468,325,236.6,TIME
4,2026-07-09 10:30:00,2026-07-09 11:30:00,JKCEMENT,SHORT,5477.5,5440.0,68.46,62.46,58.46,-0.0412,-0.0253,18,571.19,TIME
5,2026-07-09 10:45:00,2026-07-09 11:45:00,SCHAEFFLER,LONG,4105.0,4105.5,1.22,-4.78,-8.78,-0.0307,-0.0499,24,-91.74,TIME
6,2026-07-09 11:15:00,2026-07-09 12:15:00,GRANULES,LONG,872.0,887.4,176.61,170.61,166.61,-0.0312,-0.0459,114,1650.66,TIME
7,2026-07-09 11:15:00,2026-07-09 12:15:00,DLF,SHORT,642.0,650.15,-126.95,-132.95,-136.95,-0.0413,-0.0258,155,-1367.83,TIME
8,2026-07-09 11:30:00,2026-07-09 12:30:00,SCHAEFFLER,LONG,4103.8,4081.3,-54.83,-60.83,-64.83,-0.0306,-0.0495,24,-643.58,TIME
9,2026-07-09 11:30:00,2026-07-09 12:30:00,GODREJPROP,SHORT,2029.7,2031.3,-7.88,-13.88,-17.88,-0.0416,-0.0238,49,-182.94,TIME
10,2026-07-09 11:45:00,2026-07-09 12:45:00,M&MFIN,LONG,337.3,336.4,-26.68,-32.68,-36.68,-0.0313,-0.0439,295,-370.01,TIME
11,2026-07-09 12:15:00,2026-07-09 13:15:00,ZEEL,SHORT,100.42,100.03,38.84,32.84,28.84,-0.0426,-0.0273,991,281.9,TIME
12,2026-07-09 12:15:00,2026-07-09 13:15:00,ONGC,LONG,244.75,244.74,-0.41,-6.41,-10.41,-0.0319,-0.0496,406,-108.52,TIME
13,2026-07-09 12:30:00,2026-07-09 13:30:00,BAJAJFINSV,LONG,1890.0,1898.6,45.5,39.5,35.5,-0.0328,-0.0478,52,343.55,TIME
14,2026-07-09 12:30:00,2026-07-09 13:30:00,BANDHANBNK,SHORT,200.23,200.0,11.49,5.49,1.49,-0.0412,-0.0282,497,9.72,TIME
15,2026-07-09 12:45:00,2026-07-09 13:45:00,COLPAL,LONG,2064.0,2064.5,2.42,-3.58,-7.58,-0.0322,-0.0493,48,-80.22,TIME
16,2026-07-09 13:15:00,2026-07-09 14:15:00,FEDERALBNK,LONG,329.9,328.05,-56.08,-62.08,-66.08,-0.0344,-0.0494,301,-661.12,TIME
17,2026-07-09 13:15:00,2026-07-09 14:15:00,GODREJPROP,SHORT,2037.8,2035.0,13.74,7.74,3.74,-0.043,-0.0245,48,31.26,TIME
18,2026-07-09 13:30:00,2026-07-09 14:30:00,EXIDEIND,LONG,423.15,425.95,66.17,60.17,56.17,-0.0345,-0.044,235,553.31,TIME
19,2026-07-09 13:30:00,2026-07-09 14:30:00,RELAXO,SHORT,389.8,387.95,47.46,41.46,37.46,-0.0453,-0.0258,255,367.26,TIME
20,2026-07-09 13:45:00,2026-07-09 14:45:00,PHOENIXLTD,LONG,2106.9,2095.0,-56.48,-62.48,-66.48,-0.0343,-0.0448,47,-663.33,TIME
21,2026-07-09 14:15:00,2026-07-09 15:15:00,CANBK,LONG,124.42,124.59,13.66,7.66,3.66,-0.034,-0.0518,799,31.3,TIME
22,2026-07-09 14:15:00,2026-07-09 15:15:00,PAGEIND,SHORT,40890.0,40640.0,61.14,55.14,51.14,-0.0458,-0.0316,2,410.49,TIME
