DateTime,side,rank_in_top3,Ticker,v10_score,v18_prob,veto_pass,realized_bps
2026-06-08 09:15:00,LONG,True,WIPRO.NS,0.0345,0.5175,False,-81.5
2026-06-08 09:15:00,LONG,True,SRF.NS,0.0329,0.5064,False,149.8
2026-06-08 09:15:00,LONG,True,ULTRACEMCO.NS,0.0299,0.5041,False,26.0
2026-06-08 09:15:00,SHORT,True,SYNGENE.NS,0.0375,0.4962,False,54.3
2026-06-08 09:15:00,SHORT,True,APOLLOHOSP.NS,0.032,0.5039,False,-69.0
2026-06-08 09:15:00,SHORT,True,DIVISLAB.NS,0.0299,0.502,False,99.7
2026-06-08 10:15:00,LONG,True,BRIGADE.NS,0.0335,0.5191,False,50.7
2026-06-08 10:15:00,LONG,True,TATACOMM.NS,0.0273,0.5181,False,-58.4
2026-06-08 10:15:00,LONG,True,SBILIFE.NS,0.0273,0.5151,False,-14.1
2026-06-08 10:15:00,SHORT,True,SYNGENE.NS,0.0482,0.5113,False,15.6
2026-06-08 10:15:00,SHORT,True,ESCORTS.NS,0.0428,0.5122,False,8.6
2026-06-08 10:15:00,SHORT,True,COLPAL.NS,0.0412,0.5208,True,6.0
2026-06-08 11:15:00,LONG,True,OBEROIRLTY.NS,0.0425,0.5083,False,-11.7
2026-06-08 11:15:00,LONG,True,GODREJCP.NS,0.042,0.5096,False,21.1
2026-06-08 11:15:00,LONG,True,DABUR.NS,0.0411,0.5065,False,-1.2
2026-06-08 11:15:00,SHORT,True,LALPATHLAB.NS,0.0477,0.4968,False,130.6
2026-06-08 11:15:00,SHORT,True,WIPRO.NS,0.0362,0.4905,False,60.9
2026-06-08 11:15:00,SHORT,True,VEDL.NS,0.0355,0.4786,False,-12.9
2026-06-08 12:15:00,LONG,True,VOLTAS.NS,0.0353,0.5186,False,-3.1
2026-06-08 12:15:00,LONG,True,ASTRAL.NS,0.0298,0.5191,False,-25.5
2026-06-08 12:15:00,LONG,True,BALKRISIND.NS,0.028,0.5185,False,1.4
2026-06-08 12:15:00,SHORT,True,ZEEL.NS,0.0349,0.4827,False,70.6
2026-06-08 12:15:00,SHORT,True,VEDL.NS,0.033,0.4986,False,29.1
2026-06-08 12:15:00,SHORT,True,WIPRO.NS,0.0324,0.4751,False,49.9
2026-06-08 13:15:00,LONG,True,BANDHANBNK.NS,0.0368,0.5796,True,-14.7
2026-06-08 13:15:00,LONG,True,UPL.NS,0.0367,0.529,True,9.6
2026-06-08 13:15:00,LONG,True,PRESTIGE.NS,0.0363,0.5226,True,-41.0
2026-06-08 13:15:00,SHORT,True,KEC.NS,0.0574,0.5451,True,7.2
2026-06-08 13:15:00,SHORT,True,ZEEL.NS,0.0443,0.4774,False,80.9
2026-06-08 13:15:00,SHORT,True,WIPRO.NS,0.0355,0.4737,False,92.1
2026-06-08 14:15:00,LONG,True,VOLTAS.NS,0.0489,0.481,False,
2026-06-08 14:15:00,LONG,True,ADANIPOWER.NS,0.0445,0.4864,False,
2026-06-08 14:15:00,LONG,True,PAGEIND.NS,0.0424,0.4888,False,
2026-06-08 14:15:00,SHORT,True,BRIGADE.NS,0.0393,0.4857,False,
2026-06-08 14:15:00,SHORT,True,WIPRO.NS,0.0358,0.4726,False,
2026-06-08 14:15:00,SHORT,True,TATACOMM.NS,0.0341,0.495,False,
